iter	Logloss
0	0.6897757733
1	0.6864291918
2	0.6830961891
3	0.6797929266
4	0.6765064076
5	0.6732390132
6	0.6699964665
7	0.6667736452
8	0.6635677814
9	0.6603871286
10	0.6572238356
11	0.6540806033
12	0.6509603187
13	0.6478524245
14	0.6447701119
15	0.6417058706
16	0.6386595331
17	0.6356367022
18	0.6326267496
19	0.6296429485
20	0.6266722605
21	0.62372531
22	0.6207969636
23	0.6178843603
24	0.6149880663
25	0.6121184155
26	0.609259747
27	0.6064226478
28	0.6035991982
29	0.600797452
30	0.5980121568
31	0.5952459946
32	0.592499271
33	0.5897610337
34	0.5870501921
35	0.5843533427
36	0.5816734731
37	0.5790104046
38	0.5763616413
39	0.5737350732
40	0.571120128
41	0.5685249269
42	0.5659466684
43	0.5633804202
44	0.560833782
45	0.5582993329
46	0.555784449
47	0.5532895774
48	0.5508040786
49	0.5483358055
50	0.5458822697
51	0.5434486121
52	0.5410244167
53	0.5386149883
54	0.5362256616
55	0.5338509232
56	0.5314913243
57	0.5291436613
58	0.5268110335
59	0.5244956911
60	0.5221900642
61	0.5199018419
62	0.5176257938
63	0.5153648257
64	0.5131213069
65	0.5108874738
66	0.5086712241
67	0.5064668506
68	0.5042727143
69	0.5020958036
70	0.4999364913
71	0.4977814853
72	0.4956467599
73	0.4935215712
74	0.4914087504
75	0.4893136322
76	0.4872253388
77	0.485152036
78	0.4830935746
79	0.4810445905
80	0.4790107012
81	0.4769863933
82	0.4749794602
83	0.4729743749
84	0.4709946364
85	0.4690218717
86	0.4670532942
87	0.465105027
88	0.4631659836
89	0.461241886
90	0.4593194276
91	0.4574143887
92	0.4555214792
93	0.4536431879
94	0.4517691135
95	0.4499152899
96	0.4480626285
97	0.4462275654
98	0.4443989843
99	0.4425826669
