iter	Passed	Remaining
0	3	316
1	6	322
2	10	326
3	13	326
4	17	338
5	21	343
6	26	348
7	30	348
8	34	351
9	38	346
10	43	352
11	49	360
12	54	366
13	60	370
14	66	377
15	71	375
16	76	371
17	81	370
18	84	362
19	90	363
20	99	373
21	107	380
22	113	378
23	119	378
24	124	373
25	131	373
26	136	368
27	141	362
28	145	357
29	150	351
30	155	345
31	159	339
32	163	332
33	167	325
34	170	316
35	173	308
36	176	300
37	179	293
38	182	285
39	185	277
40	187	269
41	190	262
42	192	255
43	195	248
44	197	241
45	200	234
46	202	228
47	204	221
48	206	215
49	209	209
50	211	203
51	213	197
52	215	191
53	217	185
54	220	180
55	222	174
56	224	169
57	226	164
58	229	159
59	231	154
60	233	149
61	235	144
62	237	139
63	240	135
64	242	130
65	244	126
66	246	121
67	249	117
68	251	112
69	253	108
70	255	104
71	258	100
72	260	96
73	262	92
74	264	88
75	267	84
76	269	80
77	271	76
78	273	72
79	276	69
80	278	65
81	280	61
82	282	57
83	284	54
84	287	50
85	289	47
86	291	43
87	294	40
88	296	36
89	298	33
90	300	29
91	303	26
92	305	22
93	307	19
94	309	16
95	311	12
96	314	9
97	316	6
98	318	3
99	320	0
